Timestamp,Scenario,BottleneckMbps,TCPVariant,ErrorRate,Segments_Flow1,Segments_Flow2,AvgUniqueSegments,AvgThroughputMbps
2026-04-07 15:52:17,single,7,TcpNewReno,0.01,77036,0,77036,2.465
2026-04-07 15:57:08,single,7,TcpNewRenoPlus,0.01,78482,0,78482,2.511
2026-04-07 18:32:05,single,7,TcpNewRenoPlusMod,0.01,83286,0,83286,2.665
,,,,,,,,
2026-04-07 15:22:51,single,7,TcpNewReno,0.025,76139,0,76139,2.436
2026-04-07 15:27:28,single,7,TcpNewRenoPlus,0.025,78842,0,78842,2.523
2026-04-07 18:35:31,single,7,TcpNewRenoPlusMod,0.025,83230,0,83230,2.663
,,,,,,,,
2026-04-07 14:56:00,single,7,TcpNewReno,0.05,76375,0,76375,2.444
2026-04-07 15:00:44,single,7,TcpNewRenoPlus,0.05,77895,0,77895,2.493
2026-04-07 18:59:43,single,7,TcpNewRenoPlusMod,0.05,83289,0,83289,2.665
,,,,,,,,
2026-04-07 16:00:16,single,7,TcpNewReno,0.1,20861,0,20861,0.668
2026-04-07 16:04:27,single,7,TcpNewRenoPlus,0.1,45610,0,45610,1.46
2026-04-07 19:02:32,single,7,TcpNewRenoPlusMod,0.1,18841,0,18841,0.603
,,,,,,,,
,,,,,,,,
2026-04-07 16:11:36,multi,12,TcpNewReno,0.01,104114,100294,102204,3.271
2026-04-07 16:18:46,multi,12,TcpNewRenoPlus,0.01,105977,102735,104356,3.339
2026-04-07 19:09:23,multi,12,TcpNewRenoPlusMod,0.01,107797,106151,106974,3.423
,,,,,,,,
2026-04-07 15:34:13,multi,12,TcpNewReno,0.025,101819,102229,102024,3.265
2026-04-07 15:41:10,multi,12,TcpNewRenoPlus,0.025,101672,105185,103428,3.31
2026-04-07 19:16:15,multi,12,TcpNewRenoPlusMod,0.025,106172,106663,106417,3.405
,,,,,,,,
2026-04-07 15:08:07,multi,12,TcpNewReno,0.05,83612,91832,87722,2.807
2026-04-07 15:14:45,multi,12,TcpNewRenoPlus,0.05,95041,92407,93724,2.999
2026-04-07 19:23:05,multi,12,TcpNewRenoPlusMod,0.05,88520,101219,94869,3.036
,,,,,,,,
2026-04-07 16:21:44,multi,12,TcpNewReno,0.1,2642,12553,7597,0.243
2026-04-07 16:24:14,multi,12,TcpNewRenoPlus,0.1,7351,5895,6623,0.212
2026-04-07 19:26:10,multi,12,TcpNewRenoPlusMod,0.1,3062,22763,12912,0.413
