Timestamp,Scenario,BottleneckMbps,TCPVariant,ErrorRate,Segments_Flow1,Segments_Flow2,AvgUniqueSegments,AvgThroughputMbps
2026-04-07 03:48:02,single,7,TcpNewReno,0.01,143774,0,143774,4.601
2026-04-07 03:50:49,single,7,TcpNewRenoPlus,0.01,143876,0,143876,4.604
2026-04-07 03:53:39,single,7,TcpNewReno,0.025,144470,0,144470,4.623
2026-04-07 03:56:29,single,7,TcpNewRenoPlus,0.025,144253,0,144253,4.616
2026-04-07 03:59:21,single,7,TcpNewReno,0.05,143270,0,143270,4.585
2026-04-07 04:02:12,single,7,TcpNewRenoPlus,0.05,144056,0,144056,4.61
2026-04-07 04:05:07,single,7,TcpNewReno,0.1,142816,0,142816,4.57
2026-04-07 04:07:59,single,7,TcpNewRenoPlus,0.1,139642,0,139642,4.469
2026-04-07 04:09:09,single,7,TcpNewReno,0.15,34451,0,34451,1.102
2026-04-07 04:10:38,single,7,TcpNewRenoPlus,0.15,51344,0,51344,1.643
2026-04-07 04:15:34,multi,12,TcpNewReno,0.01,144425,144440,144432,4.622
2026-04-07 04:20:34,multi,12,TcpNewRenoPlus,0.01,144210,144225,144217,4.615
2026-04-07 04:25:29,multi,12,TcpNewReno,0.025,144106,144152,144129,4.612
2026-04-07 04:30:29,multi,12,TcpNewRenoPlus,0.025,144150,144166,144158,4.613
2026-04-07 04:35:28,multi,12,TcpNewReno,0.05,143862,143933,143897,4.605
2026-04-07 04:40:26,multi,12,TcpNewRenoPlus,0.05,143595,143659,143627,4.596
2026-04-07 04:45:24,multi,12,TcpNewReno,0.1,138064,137750,137907,4.413
2026-04-07 04:50:18,multi,12,TcpNewRenoPlus,0.1,134561,134424,134492,4.304
2026-04-07 04:51:17,multi,12,TcpNewReno,0.15,13170,10194,11682,0.374
2026-04-07 04:52:02,multi,12,TcpNewRenoPlus,0.15,284,10306,5295,0.169
