Timestamp,TCPVariant,ErrorRate,TotalBytes,TotalSegments,ThroughputMbps
2026-02-18 03:01:51,TcpNewReno,0.0100,32412000,32412,4.322
2026-02-18 03:02:27,TcpNewRenoPlus,0.0100,32340000,32340,4.312
2026-02-18 03:03:04,TcpNewReno,0.0250,32412000,32412,4.322
2026-02-18 03:03:43,TcpNewRenoPlus,0.0250,32340000,32340,4.312
2026-02-18 03:04:21,TcpNewReno,0.0500,32408000,32408,4.321
2026-02-18 03:05:00,TcpNewRenoPlus,0.0500,32193000,32193,4.292
2026-02-18 03:05:50,TcpNewRenoPlus,0.0100,32340000,32340,4.312
2026-02-18 03:08:29,TcpNewReno,0.0500,32408000,32408,4.321
2026-02-18 03:09:15,TcpNewRenoPlus,0.0500,32193000,32193,4.292
2026-02-18 03:10:17,TcpWestwoodPlus,0.0500,32334000,32334,4.311
2026-02-18 03:11:33,TcpVegas,0.0500,32322000,32322,4.310
2026-02-18 03:12:52,TcpCubic,0.0500,32445000,32445,4.326
2026-02-18 11:16:19,TcpNewRenoPlus,0.2000,22059000,22059,0.706
2026-02-18 11:21:15,TcpNewReno,0.2000,26345000,26345,0.843
2026-02-18 11:43:04,TcpNewRenoPlus,0.0100,145006000,145006,4.640
2026-02-18 11:49:24,TcpNewReno,0.0100,145078000,145078,4.642
2026-02-18 11:52:27,TcpNewRenoPlus,0.0100,145006000,145006,4.640
