Timestamp,TCPVariant,ErrorRate,TdrThresh,ItrThresh,TdrAging,ItrAging,TotalBytes,TotalSegments,ThroughputMbps
2026-02-25 03:04:56,TcpNewReno,0.0100,0.1000,0.2500,0.8750,0.8750,145078000,145078,4.642
2026-02-25 03:07:19,TcpNewReno,0.0250,0.1000,0.2500,0.8750,0.8750,145078000,145078,4.642
2026-02-25 03:09:44,TcpNewReno,0.0500,0.1000,0.2500,0.8750,0.8750,145074000,145074,4.642
2026-02-25 03:12:13,TcpNewReno,0.1000,0.1000,0.2500,0.8750,0.8750,144624000,144624,4.628
2026-02-25 03:14:43,TcpNewReno,0.1500,0.1000,0.2500,0.8750,0.8750,141002000,141002,4.512
2026-02-25 03:15:25,TcpNewReno,0.2000,0.1000,0.2500,0.8750,0.8750,26345000,26345,0.843
2026-02-25 03:15:45,TcpNewReno,0.2500,0.1000,0.2500,0.8750,0.8750,3615000,3615,0.116
2026-02-25 03:16:00,TcpNewReno,0.3000,0.1000,0.2500,0.8750,0.8750,137000,137,0.004
2026-02-25 03:18:22,TcpNewRenoPlus,0.0100,0.1000,0.1000,0.5000,0.5000,145078000,145078,4.642
2026-02-25 03:20:43,TcpNewRenoPlus,0.0100,0.1000,0.1000,0.7500,0.7500,145078000,145078,4.642
2026-02-25 03:23:05,TcpNewRenoPlus,0.0100,0.1000,0.1000,0.8750,0.8750,145078000,145078,4.642
2026-02-25 03:25:27,TcpNewRenoPlus,0.0100,0.2000,0.2000,0.5000,0.5000,145078000,145078,4.642
2026-02-25 03:27:50,TcpNewRenoPlus,0.0100,0.2000,0.2000,0.7500,0.7500,145078000,145078,4.642
2026-02-25 03:30:12,TcpNewRenoPlus,0.0100,0.2000,0.2000,0.8750,0.8750,145069000,145069,4.642
2026-02-25 03:32:35,TcpNewRenoPlus,0.0100,0.2500,0.2500,0.5000,0.5000,145078000,145078,4.642
2026-02-25 03:34:57,TcpNewRenoPlus,0.0100,0.2500,0.2500,0.7500,0.7500,145078000,145078,4.642
2026-02-25 03:37:19,TcpNewRenoPlus,0.0100,0.2500,0.2500,0.8750,0.8750,145069000,145069,4.642
2026-02-25 03:39:43,TcpNewRenoPlus,0.0250,0.1000,0.1000,0.5000,0.5000,145078000,145078,4.642
2026-02-25 03:42:06,TcpNewRenoPlus,0.0250,0.1000,0.1000,0.7500,0.7500,145078000,145078,4.642
2026-02-25 03:44:29,TcpNewRenoPlus,0.0250,0.1000,0.1000,0.8750,0.8750,145078000,145078,4.642
