tcpVariant,nNodes,nFlows,pktPerSec,speed,throughput_mbps,avgDelay_ms,PDR_pct,dropRatio_pct,energy_J
TcpNewReno,20,20,200,10,4.07119,143.781,95.4207,3.39421,670.867
TcpNewRenoPlusMod,20,20,200,10,4.05523,171.402,93.5796,4.79483,670.54
TcpNewReno,40,20,200,10,3.97,113.603,95.4991,3.69603,1358.26
TcpNewRenoPlusMod,40,20,200,10,4.0565,141.882,94.0781,5.00017,1359.17
TcpNewReno,60,20,200,10,4.23779,88.0031,96.6427,2.76037,2039.74
TcpNewRenoPlusMod,60,20,200,10,4.34144,95.7769,94.9184,4.3205,2037.97
TcpNewReno,80,20,200,10,3.68159,83.2989,96.4116,3.29599,2706.02
TcpNewRenoPlusMod,80,20,200,10,3.73412,90.4635,95.7033,3.69072,2708.21
TcpNewReno,40,10,200,10,4.14445,114.124,97.1453,2.40878,1357.95
TcpNewRenoPlusMod,40,10,200,10,4.22811,122.403,96.9386,2.4851,1357.82
TcpNewReno,40,30,200,10,3.93299,119.975,94.6309,3.80798,1360.88
TcpNewRenoPlusMod,40,30,200,10,4.18054,127.358,93.4225,5.37693,1357.02
TcpNewReno,40,40,200,10,3.8899,128.465,93.7759,4.8475,1361.37
TcpNewRenoPlusMod,40,40,200,10,3.85347,150.195,91.4516,6.82665,1360.52
TcpNewReno,40,50,200,10,3.80226,150.369,92.6317,5.74641,1361.74
TcpNewRenoPlusMod,40,50,200,10,3.70024,151.721,90.2949,8.17141,1361.01
TcpNewReno,40,20,100,10,4.08161,109.686,96.0533,3.28046,1360.74
TcpNewRenoPlusMod,40,20,100,10,3.9986,131.156,93.3157,5.64204,1359.26
TcpNewReno,40,20,300,10,4.17596,125.433,94.8429,3.86047,1358.95
TcpNewRenoPlusMod,40,20,300,10,4.26085,119.343,94.4336,4.90568,1358.22
TcpNewReno,40,20,400,10,4.22838,125.536,95.3875,3.68288,1358.98
TcpNewRenoPlusMod,40,20,400,10,3.98187,145.136,92.55,6.32781,1360.33
TcpNewReno,40,20,500,10,4.19671,124.442,95.0169,4.26568,1358.34
TcpNewRenoPlusMod,40,20,500,10,4.24891,128.615,94.0695,5.11175,1357.29
TcpNewReno,40,20,200,5,4.03672,140.746,95.3459,3.5252,1363.62
TcpNewRenoPlusMod,40,20,200,5,4.06224,169.758,93.2503,5.38032,1363.2
TcpNewReno,40,20,200,15,4.13266,91.1535,94.9371,3.98842,1355.84
TcpNewRenoPlusMod,40,20,200,15,4.08167,119.754,93.5141,5.64349,1358.43
TcpNewReno,40,20,200,20,3.9458,113.443,93.4218,5.36695,1359.46
TcpNewRenoPlusMod,40,20,200,20,3.89185,119.331,93.281,5.47922,1358.64
TcpNewReno,40,20,200,25,4.02193,105.038,94.5524,4.08316,1358.83
TcpNewRenoPlusMod,40,20,200,25,3.85803,109.91,93.3373,5.78576,1359.12
