tcpVariant,nNodes,nFlows,pktPerSec,speed,throughput_mbps,avgDelay_ms,PDR_pct,dropRatio_pct,energy_J
TcpNewReno,20,20,200,10,0.100443,70.7047,89.8856,6.6811,34.452
TcpNewRenoPlusMod,20,20,200,10,0.0981326,95.0886,89.5768,6.44346,34.452
TcpNewReno,40,20,200,10,0.102589,108.888,91.7235,5.0527,68.904
TcpNewRenoPlusMod,40,20,200,10,0.0984594,91.1232,89.6108,6.74827,68.904
TcpNewReno,60,20,200,10,0.102702,73.3136,91.5475,4.84773,103.356
TcpNewRenoPlusMod,60,20,200,10,0.100152,97.7335,89.008,6.79731,103.356
TcpNewReno,80,20,200,10,0.0977931,107.965,89.3819,6.56101,137.808
TcpNewRenoPlusMod,80,20,200,10,0.100894,177.076,90.3036,5.60719,137.808
TcpNewReno,40,10,200,10,0.103784,97.4093,93.2598,4.37795,68.904
TcpNewRenoPlusMod,40,10,200,10,0.101805,118.333,91.194,5.73488,68.904
TcpNewReno,40,30,200,10,0.0988057,118.085,87.9852,7.70179,68.904
TcpNewRenoPlusMod,40,30,200,10,0.0996914,92.8464,86.5373,8.56716,68.904
TcpNewReno,40,40,200,10,0.0989383,129.006,86.8733,7.90033,68.904
TcpNewRenoPlusMod,40,40,200,10,0.0996331,165.456,86.5846,8.04322,68.904
TcpNewReno,40,50,200,10,0.0998686,168.477,87.7849,7.71802,68.904
TcpNewRenoPlusMod,40,50,200,10,0.100391,198.062,84.7649,9.28613,68.904
TcpNewReno,40,20,100,10,0.0999189,144.342,89.5983,6.1663,68.904
TcpNewRenoPlusMod,40,20,100,10,0.101462,132.205,89.8404,6.47637,68.904
TcpNewReno,40,20,300,10,0.0993017,96.9918,90.6667,5.77778,68.904
TcpNewRenoPlusMod,40,20,300,10,0.100085,89.2135,88.8616,7.08806,68.904
TcpNewReno,40,20,400,10,0.101637,72.1438,90.7178,5.13614,68.904
TcpNewRenoPlusMod,40,20,400,10,0.100856,124.966,87.9722,8.37111,68.904
TcpNewReno,40,20,500,10,0.101247,75.0886,91.4807,4.77837,68.904
TcpNewRenoPlusMod,40,20,500,10,0.100662,99.7064,90.5967,6.15433,68.904
TcpNewReno,40,20,200,5,0.100314,80.3187,89.7109,5.84395,68.904
TcpNewRenoPlusMod,40,20,200,5,0.101042,103.963,89.9381,6.09907,68.904
TcpNewReno,40,20,200,15,0.0988411,67.4325,89.7379,6.25197,68.904
TcpNewRenoPlusMod,40,20,200,15,0.100551,113.405,91.2961,5.01419,68.904
TcpNewReno,40,20,200,20,0.101875,76.9173,89.6151,5.89493,68.904
TcpNewRenoPlusMod,40,20,200,20,0.10231,195.025,89.4609,6.57935,68.904
TcpNewReno,40,20,200,25,0.101767,109.36,91.8316,5.24662,68.904
TcpNewRenoPlusMod,40,20,200,25,0.101567,152.463,92.4468,5.33164,68.904
